
TEAM_1,TEAM_2,NO_OF_MATCHES,TEAM_1_WIN_COUNT,TEAM_2_WIN_COUNT,TEAM_1_OVERTIME_WINS,TEAM_2_OVERTIME_WINS,AVG_TEAM_1_PENALTIES,AVG_TEAM_2_PENALTIES,TEAM_1_PLAYOFF_WINS,TEAM_2_PLAYOFF_WINS,TEAM_1_AVG_GOALS_PER_MATCH,TEAM_2_AVG_GOALS_PER_MATCH,TEAM_1_AVG_GOAL_PERCENTAGE,TEAM_2_AVG_GOAL_PERCENTAGE
BUF,WPG,24,10,14,2,1,3.333333,4.25,0,0,2.25,2.916667,0.07197529167,0.09477566667
BUF,NYI,52,18,34,4,7,3.076923,3.711538,0,0,2.365385,3.019231,0.08082282692,0.09661575
CBJ,DAL,46,27,19,7,2,3.934783,3.826087,0,0,2.565217,2.630435,0.09403067391,0.09011006522
DET,OTT,39,20,19,5,3,4.564103,4.435897,0,0,2.717949,2.846154,0.09220635897,0.09107641026
ARI,NJD,5,2,3,1,1,4.4,4.6,0,0,3,3.8,0.1340966,0.1095704
BUF,PIT,55,15,40,3,7,4.163636,3.909091,0,0,2.327273,3.509091,0.07986956364,0.1095978
NYI,N.J,57,29,28,4,3,3.614035,3.684211,0,0,2.491228,2.315789,0.09077115789,0.0786555614
S.J,VGK,33,10,23,6,4,4.666667,4.272727,6,7,2.333333,3.757576,0.07100463636,0.1123914242
ARI,L.A,58,27,31,3,5,3.948276,4.017241,1,1,2.448276,2.706897,0.09219763793,0.08787184483
COL,CGY,59,25,34,3,5,4.491525,4.118644,4,1,2.847458,3.101695,0.09630628814,0.1068992034
CGY,VAN,80,43,37,10,8,4.675,4.75,4,2,2.85,2.9625,0.091955625,0.1085456125
CGY,WPG,40,22,18,3,2,3.825,3.875,3,1,2.9,2.525,0.097527875,0.09063025
CBJ,TOR,35,18,17,4,2,2.914286,3.257143,3,2,3,2.971429,0.09548865714,0.09477477143
NYI,WSH,73,31,42,8,10,3.356164,3.575342,7,5,2.547945,2.835616,0.08855363014,0.09675749315
ANA,COL,54,30,24,6,5,4.481481,4.037037,0,0,2.981481,2.851852,0.1024003148,0.09086759259
MIN,VAN,58,25,33,3,7,4.344828,4.672414,1,3,2.758621,2.758621,0.09181239655,0.1023945345
